State,County,fips,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,church_to_firm_1990,church_to_firm_2010,church_to_firm_2020,County_clean,merge_key,Index_v2,births_1519,entryrate_1519,births_2022,birthrate_pc_1519
AL,AUTAUGA,01001,28337,53255,69841,69289,74034,70.0,85.3,90.3,74.0,74.0,93.0,13330.0,34222,54571,60342,61.0,70,106,110,4.58,2.05,1.94,1.82,-0.292484833983413,0.946,1.432,1.183,,,-0.171179049905782,66.8,8.338,93.0,1.2240933829323266
AL,BALDWIN,01003,25712,50147,75019,62870,69714,73.2,87.6,91.7,347.0,423.0,707.0,8941.0,98280,182265,253507,45.0,181,271,285,5.03,1.84,1.49,1.12,-0.74104186476419,0.522,0.641,0.403,,,-0.415513350038846,515.8,10.5,707.0,2.829945409156996
AL,BARBOUR,01005,19389,33219,44290,47409,46181,55.6,71.9,77.8,70.0,33.0,37.0,34898.0,25417,27457,24585,91.0,67,89,93,2.61,2.64,3.24,3.78,0.603752354168344,0.957,2.697,2.514,,,0.424712233435417,29.2,6.756,37.0,1.063481079506137
AL,BIBB,01007,19775,41770,51215,48353,58068,51.8,74.5,80.3,32.0,25.0,33.0,13824.0,16576,22915,21868,81.0,65,81,81,5.86,3.92,3.53,3.7,1.08196825027754,2.031,3.24,2.455,,,1.21840277754309,20.6,7.640600000000001,33.0,0.8989744708706088
AL,BLOUNT,01009,22382,45549,61096,54728,63322,60.5,74.7,82.7,78.0,52.0,86.0,21927.0,39248,57322,59816,132.0,138,156,145,6.02,3.52,2.72,2.42,0.424400573475488,1.769,3.0,1.686,,,0.679291908804006,56.8,8.867799999999999,86.0,0.9908935487247479
AL,BULLOCK,01011,14745,31602,36723,36054,43933,49.0,74.7,74.0,15.0,8.0,8.0,27063.0,11042,10914,9897,89.0,29,47,43,3.29,2.63,4.31,4.34,0.843298738927843,1.933,5.875,5.375,,,0.893990950044606,7.2,6.9854,8.0,0.6597031335898845
AL,BUTLER,01013,16054,30659,44881,39255,42622,52.8,74.8,87.6,53.0,21.0,27.0,21641.0,21892,20947,18382,135.0,110,92,89,6.24,5.02,4.39,4.84,1.52964840764852,2.075,4.381,3.296,,,1.97345893333421,26.2,6.5632,27.0,1.2507757674129947
AL,CALHOUN,01015,23802,38407,55826,58200,53393,67.4,78.5,86.1,282.0,153.0,167.0,33835.0,116034,118572,116429,145.0,202,281,286,4.29,1.74,2.37,2.46,-0.292484833983413,0.716,1.837,1.713,,,-0.0408039915901602,151.6,6.9732,167.0,1.2785480551900954
AL,CHAMBERS,01017,21256,31467,49295,51974,43745,54.3,71.8,83.6,54.0,45.0,76.0,26319.0,36876,34215,34079,97.0,104,119,120,3.69,2.82,3.48,3.52,0.603752354168344,1.926,2.644,1.579,,,0.61676229119639,38.2,7.368399999999999,76.0,1.1164693847727605
AL,CHEROKEE,01019,21368,40690,50769,52248,56567,53.5,73.4,83.9,33.0,30.0,27.0,20459.0,19543,25989,25666,103.0,89,79,89,5.03,4.55,3.04,3.47,0.872080730846467,2.697,2.633,3.296,,,1.07978222682988,29.4,8.577,27.0,1.1312478356227635
AL,CHILTON,01021,21627,39486,61873,52882,54893,56.6,75.9,84.2,70.0,52.0,60.0,14549.0,32458,43643,46431,78.0,103,122,133,5.36,3.17,2.8,2.86,0.394741708147066,1.471,2.346,2.217,,,0.622257587140306,59.4,8.328999999999999,60.0,1.3610430080425269
AL,CHOCTAW,01023,17115,31076,44483,41849,43201,54.3,71.1,84.2,40.0,23.0,19.0,17526.0,16018,13859,12252,77.0,77,83,76,4.39,4.81,5.99,6.2,2.2177518231888,1.925,3.609,4.0,,,2.34650916265363,16.4,6.844200000000001,19.0,1.1833465618009957
AL,CLARKE,01025,19067,27439,49167,46622,38145,60.3,76.1,85.3,72.0,40.0,63.0,22624.0,27240,25833,22337,80.0,93,122,112,3.54,3.41,4.72,5.01,1.29185576970862,1.292,3.05,1.778,,,1.34893959769137,35.0,6.2122,63.0,1.3548561916927961
AL,CLAY,01027,19252,35595,51852,47074,49484,53.8,71.4,82.8,28.0,15.0,14.0,15765.0,13252,13932,14111,89.0,80,69,71,5.65,6.04,4.95,5.03,2.00786430375772,2.857,4.6,5.071,,,2.29929259013513,11.2,6.2332,14.0,0.8039046798736721
AL,CLEBURNE,01029,21158,36077,53319,51735,50154,49.8,70.3,85.4,21.0,11.0,24.0,13218.0,12730,14972,15639,94.0,55,66,66,7.11,4.32,4.41,4.22,1.08196825027754,2.619,6.0,2.75,,,1.80572827515023,14.2,8.964,24.0,0.948437082554101
AL,COFFEE,01031,23905,42253,64672,58452,58740,67.2,79.3,86.0,88.0,89.0,77.0,12170.0,40240,49948,55643,44.0,101,120,126,3.62,2.51,2.4,2.26,-0.0538153226337119,1.148,1.348,1.636,,,0.0058272317468654,72.8,7.9632000000000005,77.0,1.457515816449107
AL,COLBERT,01033,22378,39610,56736,54718,55065,65.2,80.1,87.5,152.0,83.0,115.0,20189.0,51666,54428,58361,68.0,119,140,142,3.37,2.3,2.57,2.43,-0.0529384492239134,0.783,1.687,1.235,,,0.0008329031421469,88.6,7.7396,115.0,1.627838612478871
AL,CONECUH,01035,15992,26944,42266,39103,37457,52.7,71.3,87.5,21.0,14.0,22.0,14594.0,14054,13228,11174,98.0,66,62,56,6.72,4.7,4.69,5.01,1.76919479240802,3.143,4.429,2.545,,,2.07567930263242,13.0,6.9438,22.0,0.9827638342908981
AL,COOSA,01037,20279,35560,57063,49585,49435,53.9,73.1,82.8,13.0,8.0,5.0,15906.0,11063,11539,10268,72.0,46,49,38,4.53,4.16,4.25,3.7,1.08196825027754,3.538,6.125,7.6,,,1.26165482557434,5.4,6.072,5.0,0.46797816101915246
AL,COVINGTON,01039,18394,33852,50886,44976,47061,57.3,76.5,86.2,103.0,75.0,63.0,7536.0,36478,37765,37952,45.0,122,126,118,5.97,3.34,3.34,3.11,0.394741708147066,1.184,1.68,1.873,,,0.92885168622625,51.4,6.6816,63.0,1.3610485899642526
AL,CRENSHAW,01041,16460,35140,49040,40247,48851,51.3,73.7,82.6,29.0,16.0,20.0,15425.0,13635,13906,13101,87.0,78,68,62,5.64,5.72,4.89,4.73,2.00786430375772,2.69,4.25,3.1,,,2.14600825077823,12.0,6.127599999999999,20.0,0.8629368617862793
AL,CULLMAN,01043,21672,38567,60916,52992,53615,58.8,76.9,85.0,181.0,117.0,177.0,13439.0,67613,80406,92016,80.0,208,227,224,5.95,3.08,2.82,2.43,0.185731062125787,1.149,1.94,1.266,,,0.595579829464618,125.0,7.682599999999999,177.0,1.5546103524612591
AL,DALE,01045,24091,43353,53955,58906,60269,74.2,82.2,85.7,114.0,85.0,58.0,17225.0,49633,50251,49871,65.0,99,109,112,3.77,1.99,2.17,2.25,-0.292484833983413,0.868,1.282,1.931,,,-0.149125845986802,46.2,6.5864,58.0,0.9193846888619132
AL,DALLAS,01047,16493,26029,36810,40328,36185,59.6,76.8,87.1,101.0,37.0,42.0,49350.0,48130,43820,36165,178.0,85,140,128,3.61,1.77,3.19,3.54,0.365082842818643,0.842,3.784,3.048,,,0.301378233700865,42.8,6.2642,42.0,0.9767229575536285
AL,DEKALB,01049,20135,35065,51149,49233,48747,53.0,68.1,78.9,139.0,72.0,78.0,21106.0,54651,71109,72569,130.0,192,184,202,6.16,3.51,2.59,2.78,0.633411219496767,1.381,2.556,2.59,,,0.742792059776654,74.0,7.187399999999999,78.0,1.0406558944718671
AL,ELMORE,01051,26341,53128,75553,64408,73858,66.5,83.8,89.6,121.0,83.0,108.0,21732.0,49210,79303,90441,88.0,118,141,146,4.05,2.4,1.78,1.61,-0.292484833983413,0.975,1.699,1.352,,,-0.248522578693173,94.0,8.5108,108.0,1.1853271629068258
AL,ESCAMBIA,01053,18472,31927,44447,45167,44385,59.9,73.0,82.5,61.0,41.0,60.0,8666.0,35518,38319,36558,48.0,116,124,115,5.54,3.27,3.24,3.15,0.394741708147066,1.902,3.024,1.917,,,0.838011281514792,50.0,7.069,60.0,1.304835721182703
AL,ETOWAH,01055,22314,36422,53070,54561,50633,64.1,81.2,85.8,221.0,134.0,153.0,21926.0,99840,104430,103241,104.0,218,256,251,4.74,2.18,2.45,2.43,-0.292484833983413,0.986,1.91,1.641,,,0.134394781497231,127.0,6.7786,153.0,1.2161256343962463
AL,FAYETTE,01057,19844,34560,50733,48522,48045,56.6,74.7,85.2,36.0,17.0,15.0,12823.0,17962,17241,15967,64.0,92,94,90,4.99,5.12,5.45,5.64,1.9782054384293,2.556,5.529,6.0,,,2.24990153181055,18.6,6.618399999999999,15.0,1.0788237341221507
AL,FRANKLIN,01059,17907,33942,51493,43786,47186,55.1,69.6,79.5,56.0,40.0,45.0,10681.0,27814,31704,31802,42.0,88,102,101,3.93,3.16,3.22,3.18,0.394741708147066,1.571,2.55,2.244,,,0.59173657429456,33.6,6.8225999999999996,45.0,1.0598031794095382
AL,GENEVA,01061,20027,34140,50951,48969,47461,55.4,72.3,83.2,49.0,32.0,48.0,10690.0,23647,26790,26988,35.0,100,102,92,3.27,4.23,3.81,3.41,0.872957604256266,2.041,3.188,1.917,,,0.935080186005515,31.6,8.534600000000001,48.0,1.179544606196342
AL,GREENE,01063,11990,22222,31495,29317,30893,53.8,72.6,82.0,18.0,5.0,4.0,22007.0,10153,9045,7341,76.0,34,28,29,3.45,3.35,3.1,3.95,0.603752354168344,1.889,5.6,7.25,,,0.705690876000903,8.25,8.488,4.0,0.912106135986733
AL,HALE,01065,14508,29299,41325,35474,40731,54.4,69.9,81.9,28.0,25.0,14.0,27501.0,15498,15760,14888,92.0,54,69,61,3.35,3.48,4.38,4.1,0.843298738927843,1.929,2.76,4.357,,,1.06087745123299,13.0,7.8406,14.0,0.8248730964467005
