State,County,income_1989,income_2010,income_2023,income_1989_real_2023,income_2010_real_2023,income_2023.1,pct_highschool_or_more (1990),pct_highschool_or_more (2010),pct_highschool_or_more_(2023),Established firms 1989,Established firms 2010,Established firms 2022,Pop 1890,Pop 1990,Pop 2010,Pop 2023,churches_1890,churches_1990,churches_2010,churches_2020,church_density_1890,church_density_1990,church_density_2010,church_density_2020,church_persistence_index,Church_persistence_index_3yr,Index_v2,z1890,z1990,index_1890_1990_raw,index_1890_1990
AL,AUTAUGA,28337,53255,69841,69289,74034,69841,70.0,85.3,90.3,74.0,74,93,13330.0,34222,54571,60342,61.0,70,106,110,4.58,2.05,1.94,1.82,-0.292484833983413,-0.324784930898755,-0.1711790499057820,1.44047619047619,-0.12941176470588300,0.6555322128851540,0.3358646725531970
AL,BALDWIN,25712,50147,75019,62870,69714,75019,73.2,87.6,91.7,347.0,423,707,8941.0,98280,182265,253507,45.0,181,271,285,5.03,1.84,1.49,1.12,-0.74104186476419,-0.630109160995159,-0.4155133500388460,1.9761904761904800,-0.37647058823529400,0.7998599439775910,0.4446098669730760
AL,BARBOUR,19389,33219,44290,47409,46181,44290,55.6,71.9,77.8,70.0,33,37,34898.0,25417,27457,24585,91.0,67,89,93,2.61,2.64,3.24,3.78,0.603752354168344,0.540252204174219,0.4247122334354170,-0.9047619047619050,0.5647058823529410,-0.1700280112044820,-0.28616206059379900
AL,BIBB,19775,41770,51215,48353,58068,51215,51.8,74.5,80.3,32.0,25,33,13824.0,16576,22915,21868,81.0,65,81,81,5.86,3.92,3.53,3.7,1.08196825027754,0.902100687202064,1.2184027775430900,2.9642857142857100,2.0705882352941200,2.5174369747899200,1.7387357202173200
AL,BLOUNT,22382,45549,61096,54728,63322,61096,60.5,74.7,82.7,78.0,52,86,21927.0,39248,57322,59816,132.0,138,156,145,6.02,3.52,2.72,2.42,0.424400573475488,0.343036729338019,0.6792919088040060,3.154761904761900,1.6000000000000000,2.3773809523809500,1.6332090880777000
AL,BULLOCK,14745,31602,36723,36054,43933,36723,49.0,74.7,74.0,15.0,8,8,27063.0,11042,10914,9897,89.0,29,47,43,3.29,2.63,4.31,4.34,0.843298738927843,0.91283107434118,0.8939909500446060,-0.09523809523809530,0.5529411764705880,0.2288515406162460,0.014377787739841400
AL,BUTLER,16054,30659,44881,39255,42622,44881,52.8,74.8,87.6,53.0,21,27,21641.0,21892,20947,18382,135.0,110,92,89,6.24,5.02,4.39,4.84,1.52964840764852,1.61276279865199,1.973458933334210,3.4166666666666700,3.3647058823529400,3.390686274509800,2.3966942716078600
AL,CALHOUN,23802,38407,55826,58200,53393,55826,67.4,78.5,86.1,282.0,153,167,33835.0,116034,118572,116429,145.0,202,281,286,4.29,1.74,2.37,2.46,-0.292484833983413,-0.162185898707959,-0.0408039915901602,1.0952380952380900,-0.49411764705882400,0.30056022408963600,0.0684074233953273
AL,CHAMBERS,21256,31467,49295,51974,43745,49295,54.3,71.8,83.6,54.0,45,76,26319.0,36876,34215,34079,97.0,104,119,120,3.69,2.82,3.48,3.52,0.603752354168344,0.587244105144609,0.61676229119639,0.3809523809523810,0.7764705882352940,0.5787114845938370,0.27798331482461500
AL,CHEROKEE,21368,40690,50769,52248,56567,50769,53.5,73.4,83.9,33.0,30,27,20459.0,19543,25989,25666,103.0,89,79,89,5.03,4.55,3.04,3.47,0.872080730846467,0.887793619333449,1.079782226829880,1.9761904761904800,2.8117647058823500,2.393977591036410,1.6457139939862400
